frame,baseX,baseY,headX,headY,handX,handY
1115,1114,724,1128,610,1154,664
1116,1114,724,1120,614,1132,664
1117,1108,726,1128,606,1136,672
1118,1102,726,1126,622,1116,672
1119,1504,568,1496,374,1536,480
1120,1510,552,1494,388,1558,476
1124,1472.7306666666666,574.4426666666667,1485.6906666666666,423.904,1510,494
1125,1460,584,1482,434,1508,488
1130,1374,656,1450,496,1444,592
1135,1300.375,738.0833333333334,1360,570,1186,678
1140,1244,798,1168,666,1068,824
1145,1224.6354166666667,785.0347222222222,1052,754,1070.25,828.5416666666666
1150,1224,764,1068,678,1096,806
1155,1240.1137152777778,769.5804398148148,1154,612,1096,792
1160,1292,768,1234,596,1136,778
1161,1298,774,1256,586,1122,784
1162,1532,668,1454,418,1430,650
1163,1518,690,1468,412,1408,636
1164,1513.1904761904761,699.4285714285714,1479.142857142857,417.14285714285717,1366,618
1167,1474.5729166666667,698.9375,1516,450,1304.0318506493506,547.4624480519481
1170,1424,706,1450,450,1224,488
1172,1342,758,1380,476,1059.3745454545456,507.92436363636364
1174,1252,850,1342,454,1038,450
1175,1146,938,1022,392,848,500
1176,1093.3570370370371,921.194074074074,1046,366,827.9851851851852,387.03703703703707
1178,1013.344,843.904,1194,352,892,120
1180,960,752,1372,304,1190,0
1185,990,462,1556,506,1874,112
1188,1010.61,476.688,1628.048,541.328,1880,176
1190,1014,536,1628,536,1764,24
1195,955.75,780,1374,440,866,8
1200,906,1044,1080,530,602,848
1205,955.2708333333334,1058.0833333333333,1170,466,968,740
1210,1028,988,1478,686,1204,930
1212,1024.6125,924.65,1553.792,798.256,1234,952
1213,1020.2003472222223,887.4847222222222,1578.992,856.0226666666666,1286,952
1215,1026,812,1592,958,1046,1000
1220,1190,648,1368,1080,982,980
1230,1514,924,956,1080,1504,1080
1240,1404,974,836,688,976,1040
1245,1310,768,738,688,810.5,1027
1250,1400,698,852,818,758,1012
1255,1406.75,811.5416666666666,926,832,710,1038
1260,1346,878,914,626,1134,956
1265,1078.6875,660.3715277777778,870,176,1434,234
1270,908,468,608,32,892,256
1272,942,532,522,136,378,486
1273,1428,648,1338,474,1326,572
1274,1416,628,1336,506,1302,580
1275,1426,636,1326,532,1274,620
1280,1454,622,1302,560,1336,640
1288,1422.9813333333334,585.6053333333333,1273.3706666666667,481.92,1392,656
1290,1412,580,1268,466,1436,620
1300,1346,584,1254,442,1306,626
1310,1290,576,1340,416,1216,578
1320,1264,584,1338,442,1204,612
1325,1244.25,584.25,1307.125,442.75,1174,612
1330,1234,588,1278,440,1138,610
1335,1264.8125,607.4375,1287.3229166666667,445.1041666666667,1176,602
1340,1284,624,1290,438,1362,600
1342,1320.2295,622.9365,1332.57675,441.5365,1380,540
1344,1342,628,1370,430,1390,526
1345,1356,618,1380,436,1404,564
1346,1190,694,1248,360,1064,608
1349,1186,648,1222,342,989.5517857142856,573.1035714285714
1350,1194,618,1202,336,998,572
1355,1270.4214015151515,656.1732954545455,1262,370,1076.657941017316,651.0081168831168
1360,1346,696,1414,436,1152,728
1365,1407.125,693.375,1466,412,1199.625,771.125
1370,1454,684,1416,374,1236,792
1380,1492,708,1496,376,1300,770
1383,1478.699,709.037,1514,492,1266,900
1384,1448,630,1418,356,1200,624
1390,1426.1593573246607,622.30485364819,1408,294,1152,580
1400,1404,638,1466,370,1196,654
1410,1404,638,1446,362,1196,654
1415,1400.5625,638.375,1443.5625,362,1122,710
1425,1352,578,1392,474,1210,644
1430,1404,638,1446,408,1308,624
1440,1514,626,1464,338,1198,656
1445,1454,630,1436,292,1294,766
1450,1404,694,1394,538,1332,630
1455,1420,644,1398,440,1302,582
1460,1472,468,1452,154,1314,534
1465,1576.2916666666667,590.875,1567.5,263.9583333333333,1352,648
1470,1656,722,1668,420,1446,800
1475,1710,720,1808,524,1662,696
1476,1612,654,1692,524,1552,704
1478,1606,660,1710,528,1532,688
1480,1590,638,1692,496,1578,614
1484,1551.984,631.664,1558.384,468.672,1678,584
1486,1532.6951111111111,630.5417777777777,1490.1395555555555,457.50533333333334,1702,564
1490,1494,632,1384,444,1252,564
1492,1473.9432868774024,636.5517692814182,1376.5723259946637,448.573090343237,1198,540
1499,1403.8181028571428,655.92366,1398.0133885714285,475.3180371428571,1294,736
1500,1398,656,1402,474,1278,746
1505,1420,624,1438,406,1220,452
1506,1417.6126666666667,626.7353333333333,1443.264,421.376,1212,418
1509,1399.70225,650.48325,1455.6640000000002,515.6759999999999,1172,574
1510,1398,656,1460,536,1250,704
1512,1408.4220633333334,659.0416766666667,1471.56032,543.9908800000001,1462,752
1515,1426.2083333333333,661.0416666666666,1484,538,1526,650
1519,1449.982336511111,658.3330553555555,1469.4354602666667,457.4455157333333,1398,580
1520,1454,656,1466,440,1414,744
1521,1455.509115586963,651.2672981694815,1464.3931064604444,428.99025609955555,1340,738
1525,1458.0659722222222,631.8298611111111,1457.8333333333333,392.1666666666667,1334,616
1530,1440,618,1436,382,1280,674
1535,1432,610,1430,374,1284,224
1536,1446,608,1450,374,1292,222
1537,1446,608,1434,396,1302,232
1538,1448,612,1444,388,1302,256
1539,1196,672,1194,582,1152,546
1540,1196,682,1200,588,1144,546
1543,1202.3627272727272,687.154,1206,602,1156,636
1546,1209.099984721161,690.7281344537815,1205.8962785114045,592.5574344023323,1184,686
1550,1216,694,1206,580,1158,660
1560,1216,694,1222,602,1256,678
1570,1216,694,1222,602,1220,670
1575,1234.125,698.375,1241.75,597.625,1268,688
1580,1258,702,1264,594,1258,686
1590,1304,696,1284,600,1208,702
1594,1284.112,696.048,1285.216,601.856,1230,692
1596,1268.712,696.3146666666667,1283.9826666666665,602.456,1242,696
1600,1240,696,1276,602,1184,686
1602,1234.678521904762,694.2249447619048,1266.2819657142857,599.0089752380952,1146,686
1610,1222,686,1218,588,1214,644
1615,1201.5,686.25,1166,612,1104,724
1620,1222,686,1174,628,1142,706
1625,1222,716,1200,594,1200,678
1626,1530,662,1564,408,1570,568
1630,1532,672,1588,440,1586,638
1635,1577.1666666666667,677.4583333333334,1574,374,1368,726
1638,1579.9986666666668,689.0023333333334,1602.701,389.324,1318,616
1640,1584,696,1628,408,1282,612
1643,1611.1749485714286,695.4581257142858,1665.2709314285714,432.07092571428575,1376,660
1645,1634,700,1688.0416666666667,445.8333333333333,1680,646
1646,1649.6739094639456,710.2720189823129,1698.480054523356,451.82716615691606,1880,662
1650,1708,750,1732,468,1834,558
1654,1715.6221121694227,732.5045923332478,1723.5209086775976,446.9800629095744,1920,634
1657,1714.799592592653,711.7696989322449,1666,416,1638,612
1660,1716,692,1710,408,1832,592
1666,1736.9834147008503,658.6865453096189,1751.6676923076923,379.5027692307692,1828,488
1670,1750,650,1772,372,1920,516
1675,1754,708,1776,428,1814,676
1677,1749.7447901234568,708.290962962963,1760.9850864197533,421.8026666666667,1506,722
1679,1742.8099555555555,700.3797333333334,1700,402,1370,678
1680,1736.6074074074074,694.9777777777778,1688,396,1390,666
1681,1725.2835602962964,686.9418951111111,1676,392,1387.12,638.9866666666667
1682,1713.2372448395063,678.5335134814815,1672.425,381.8875,1528,608
1683,1701.1415610937358,670.1016562743484,1670.1414351851852,370.8394675925926,1594,572
1685,1682,656,1664,350,1756,538
1687,1681.324868001787,650.8146867832098,1646.8974523809525,331.48165476190474,1906,508
1690,1684,648,1628,314,1920,488
1692,1685.1967618798392,652.2626781895111,1643.5752292857144,328.33865107142856,1858,582
1695,1674,658,1666,350,1356,608
1698,1609.8961942872097,654.6002393086293,1652,354,1296.624,547.088
1700,1550,610,1612,336,1310,498
1701,1550.3866336651695,600.5165495489254,1607.8605714285713,324.5942857142857,1308,448
1704,1542,582,1568,300,1266,392
1705,1552,592,1574,308,1310,394
1706,1558,594,1566,334,1360,406
1707,1198,716,1180,606,1156,628
1708,1196,708,1176,608,1156,656
1710,1208,728,1178,604,1134,654
1715,1198,710,1170,610,1132,712
1720,1168,744,1140,640,1052,690
1722,1147.1413333333333,739.84,1122.88,635.6266666666667,990,720
1730,1058,704,1056,600,1130,620
1740,1010,712,1056,600,968,532
1745,971.25,751.125,993.75,629.875,866,670
1750,936,786,926,654,872,788
1755,922.6458333333334,775.3645833333334,870,626,830.2916666666666,696.375
1760,916,760,882,608,796,598
1765,914.0711805555555,759.3446180555555,884,602,806,534
1770,916,760,882,608,838,638
1780,938,750,968,642,890,744
1788,969.84,718.256,977.984,591.92,1036,694
1790,978,712,978,582,1088,662
1800,1016,702,976,578,1026,640
1804,1007.368,716.592,1000.624,604.104,932,652
1810,986,742,1040,648,1030,754
1815,994.875,727.75,1013,629.375,1118,658
1820,1008,710,978,602,1044,638
1823,1010.72725,709.8645,977.712,620.174,922,710
1825,1011.4270833333334,712.2708333333334,980,630,944,742
1827,1010.6058697619048,715.6238061904762,977.3096228571428,620.0026742857143,960,762
1830,1012,722,978,602,1044,638
1835,1035.4644097222222,739.7690972222222,1022,594,1008,656
1840,1008,762,1056,636,944,726
1845,982,792,1026,674,1014,790
1846,644,776,732,340,955.872,791.424
1847,620,802,710,388,860.5226666666666,785.252
1848,610.2060185185185,815.1608796296297,666,386,759.6566419753086,777.6187777777777
1849,603.4466765873016,824.6144593253969,624,396,660.3677407407407,767.3819166666666
1850,600,824,558,350,580,740
1855,609.9166666666666,725.5416666666666,560.0416666666666,215.70833333333334,370,432
1859,720,660,629.1992222222221,156.4027777777778,318,310
1860,690,632,644,150,378,340
1862,754,676,652,154,690,520
1865,776,682,676.3715277777778,172.44097222222223,892,618
1866,832,756,678,226,846.3679999999999,608.416
1869,822,790,698,240,642,570
1870,790,688,698,208,532,484
1875,808.3333333333334,630.375,786,158,614,166
1876,814.4544444444444,625.6898333333334,790.928,155.6,660,58
1877,821.6512962962963,624.9071388888889,789.944,157.56666666666666,780,18
1878,828.9704869684499,624.775308127572,788.2057037037036,160.26697530864197,918,32
1879,835.9204901528514,625.1102100418871,787.7815317460318,163.53627645502647,1050,108
1880,840,628,798,170,1156,274
1882,837.4834300705467,642.8896914616403,866.6022161904762,196.18364682539683,1150,582
1885,831.5972222222222,667.7604166666666,956,234,932,906
1890,820,716,948,270,778,920
1892,816.3495648148148,733.0780486111111,912.704,275.5763333333333,710,888
1893,814.9991597222222,741.3894635416666,890.5039999999999,277.06174999999996,662,856
1894,814.0549790839947,749.7460256076388,867.520857142857,278.2732470238095,588,834
1900,830,810,788,298,660,476
1902,858.4829862455908,850.5054696327862,826.1676045021645,315.4667460533911,864,470
1903,876.6849991745664,873.6302960852448,856.6411528427128,326.35944887025016,952,482
1904,895.87075962339,896.9446565525137,890.226333092146,338.04036447233824,1134,566
1905,913.6673418209876,916.4393084490741,921.3333333333333,350.31597222222223,1330,762
1906,930.0944013809125,933.7238859399541,949.842524470171,361.7238611229506,1384,988
1910,986,974,1044,416,1134,1080
1911,970,692,980,576,968,672
1915,958,724,962,584,898,536
1920,968,706,964,586,886,684
1925,972.7083333333334,712.4166666666666,971.6666666666666,597.4583333333334,946,734
1930,974,720,976,606,930,754
1935,967.1076388888889,713.5486111111111,964.9444444444445,597.7951388888889,866,630
1940,962,710,956,592,842,620
1945,967.5743634259259,721.8292824074074,964.3379629629629,603.8087384259259,882,736
1950,974,740,972,618,926,766
1955,956,722,940,600,890,664
1958,946,720,938,594,882,672
1959,940,716,932,598,848,672
1960,978,796,960,638,840,736
1965,1001.5416666666666,801.7083333333334,976.25,634.9166666666666,904,724
1968,1014.0936666666666,795.4923333333334,983.066,626.9006666666667,1014,682
1970,1018,792,988,626,1084,748
1975,1002,798,1006,658,1052,826
1980,1004,766,988,626,1014,606
1985,1004.6666666666666,761.2083333333334,985.375,622.8333333333334,878,568
1988,988,750,986.086,624.3493333333333,877.952,719.104
1990,1004,766,988,626,888,804
1993,1004.48575,778.02,994.810465,629.1254566666667,964,860
1995,1003.0027891156462,785.0823129251701,999.4883380952381,631.1887927437641,1020,834
1997,1001.0271212244897,791.8540897959184,1004.0348069142857,633.1747813496598,986,806
2000,996,800,1006,634,888,804
2005,974.625,800.5,976.5,620.875,806,618
2010,962,798,948,614,832,604
2015,988.4895833333334,804.25,954.1666666666666,647.3854166666666,836,814
2020,1024,808,974,672,974,858
2025,1063.9175347222222,805.1458333333334,1013.0694444444445,654.9262152777778,1072,738
2030,1100,788,1054,612,1158,652
2031,1106.6772777777778,768.5986666666666,1046,612,1158,608
2033,1115.065658436214,767.0735802469136,1080,614,1158,572.1481481481482
2034,1120,754,1088,606,1158,520
2035,1130,668,1050,422,1158,278
2039,1143.8133333333333,667.4346666666667,1108,434,1192,282
2040,1142,672,1122,418,1230,304
2041,1134.6979272727274,676.6049018181818,1144,450,1270,378
2042,1126.9165927343613,681.2297682225767,1161.894159266479,471.54299328568334,1308,484
2043,1119.0586482344154,685.8751280076102,1206,464,1294,602
2045,1101.8856414684494,695.963917208215,1264,552,1270,686
2048,1106,694,1288.1371428571429,610.032,1292.326857142857,742.9897142857143
2050,1072,714,1292,618,1306,752
2060,1154,672,1262,454,1308,604
2061,1164.577,666.3026666666667,1257.312,439.369,1296,594
2065,1206.625,644.5,1232,395.625,1282,504
2068,1184,648,1220.01536,397.70398666666665,1255.616,498.512
2070,1194,664,1200,396,1236,510
2071,1190,656,1194,404,1232,516
2072,992,832,1048,246,1222,454
2075,864,954,1068,338,1190,572
2080,754,998,1154,702,1044,826
2085,692.9583333333334,941.8333333333334,1014,658,934,874
2090,640,874,810,490,752,814
2095,569.8368055555555,835.5138888888889,705.375,470.3333333333333,774,560
2100,520,798,642,476,494,852
2105,558,688,637.7604166666666,454.43055555555554,452,620
2110,572,690,644,450,648,738
2115,646,756,678,534,634,786
2120,604,702,664,566,482,712
2125,566,698,618,508,504,680
2130,510,654,562,466,464,522
2135,490,660,528,464,368,408
2137,498,650,522,464,364,408
2138,752,744,762,628,674,594
2139,750,734,762,636,695.6123511904761,606.7544642857143
2140,752,750,768,636,668,590
2145,746,746,748,626,694.1875,605.5416666666666
2150,752,750,756,636,668,590
2161,761.2888888888889,763.1152592592592,744,626,692,608
2165,758,766,722.6071428571429,635.0089285714286,622,630
2170,716,758,694,658,644,744
2173,694.117,749.552,689.5035,653.345125,654,760
2180,671.0569066179645,754.135366716778,682.2270003938557,647.0617435476878,714,746
2181,668.0556317817802,755.0514086821286,681.202163814924,646.2475416253616,710,754
2182,665.3021573283215,756.1941137496591,680.1742866797158,645.5327730456993,716,752
2184,659.6933594725148,758.3733106004361,678.1550666811544,643.9963621940633,718,740
2185,657.040747114395,759.6129328079145,677.1133581295128,643.3456246712655,700,736
2186,655.4677252199704,761.9214566089966,675.8383481265447,643.5397350444883,660,728
2188,658.4956510737236,772.6518662086012,671.9527165173716,648.7621073610179,622,688
2190,662,782,668,658,580,656
2200,682,814,648,740,596,862
2206,680.848,813.424,664,856,606.356,886.192
2209,680.373,812.499,668,862,607.7825625,885.61075
2210,682,814,662,860,604,884
2215,684,830,672,862,608,880
2219,674,828,662,860,598,888
2220,690,764,590,798,514,858
2230,782,768,672,818,600,856
2240,782,768,684,826,600,856
2250,760,782,700.1666666666666,846.3333333333334,604.5,873.1666666666666
2255,778,796,711.46875,854.4375,608.40625,882.28125
2260,804,788,740,844,620,886
2270,776,826,894,716,686,860
2280,740,842,730,678,626,860
2290,664,872,624,722,522,928
2295,770,856,758,824,710,882
2300,756,878,750,856,702,878
2320,748,898,746,856,702,878
2325,766,914,712,862,682,922
2328,752,900,720,840,682,920
2329,762,918,732,842,676,920
2330,406,824,362,724,296,830
2331,436,802,358,704,296,816
2335,402.25,745.25,378,642,288,832
2340,454,668,382,644,284,810
2350,434,508,418,682,284,810
2355,428,506,390.5,623.625,284,810
2360,430,492,358,568,284,810
2365,412,490,351.2083333333333,592.8645833333334,284,810
